-- table name
特別登録馬	SpecialRegisteredHorses
レース詳細	RaceDetail
馬毎レース情報	HorseRaceInformation
払戻	Payout
票数１	VoteCount1
票数6（3連単）	VoteCountTrifecta
オッズ1（単複枠）	OddsFrame
オッズ2（馬連）	OddsExacta
オッズ3（ワイド）	OddsWide
オッズ4（馬単）	OddsWinExacta
オッズ5（3連複）	OddsTrio
オッズ6（3連単）	OddsTriplet
競走馬マスタ	HorseMaster
騎手マスタ	JockeyMaster
調教師マスタ	TrainerMaster
生産者マスタ	BreederMaster
馬主マスタ	OwnerMaster
繁殖馬マスタ	BreedingHorseMaster
産駒マスタ	OffspringMaster
出走別着度数	RunPlacementStats
レコードマスタ	RecordMaster
坂路調教	HillTraining
競走馬市場取引価格	HorseMarketTransactionPrice
馬名の意味由来	HorseNameOrigin
開催スケジュール	EventSchedule
系統情報	BloodlineInfo
コース情報	CourseInfo
タイム型データマイニング予想	TimeBasedDataMiningForecast
対戦型データマイニング予想	MatchBasedDataMiningForecast
重勝式(WIN5)	Win5
競走馬除外情報	HorseExclusionInfo
ウッドチップ調教	WoodChipTraining
馬体重	HorseWeight
天候馬場状態	WeatherTrackCondition
出走取消・競走除外	RaceCancellation
騎手変更	JockeyChange
発走時刻変更	StartTimeChange
コース変更	CourseChange
-- column name
データ区分	dataCategory
データ作成年月日	creationDate
開催年	eventYear
開催月日	eventMonthDay
競馬場コード	raceCourseCode
開催回[第N回]	eventRound
開催日目[N日目]	eventDay
レース番号	raceNumber
曜日コード	weekdayCode
特別競走番号	specialRaceNumber
競走名本題	raceName
競走名副題	raceNameSub
競走名カッコ内	raceNameParentheses
競走名本題欧字	raceNameEng
競走名副題欧字	raceNameSubEng
競走名カッコ内欧字	raceNameParenthesesEng
競走名略称10文字	raceNameAbbr10
競走名略称6文字	raceNameAbbr6
競走名略称3文字	raceNameAbbr3
競走名区分	raceTitleCategory
重賞回次[第N回]	gradeCount
グレードコード	gradeCode
競走種別コード	raceTypeCode
競走記号コード	raceSymbolCode
重量種別コード	weightTypeCode
競走条件コード 2歳条件	raceConditionCode2YearOld
競走条件コード 3歳条件	raceConditionCode3YearOld
競走条件コード 4歳条件	raceConditionCode4YearOld
競走条件コード 5歳以上条件	raceConditionCode5YearOldAndAbove
競走条件コード 最若年条件	raceConditionCodeYoungest
距離	distance
トラックコード	trackCode
コース区分	courseCategory
ハンデ発表日	handicapAnnouncementDate
登録頭数	registeredHorsesCount
<登録馬毎情報>	RegisteredHorceInformation
データ区分	dataCategory
データ作成年月日	creationDate
開催年	eventYear
開催月日	eventMonthDay
競馬場コード	raceCourseCode
開催回[第N回]	eventRound
開催日目[N日目]	eventDay
レース番号	raceNumber
曜日コード	weekdayCode
特別競走番号	specialRaceNumber
競走名本題	raceName
競走名副題	raceNameSub
競走名カッコ内	raceNameParentheses
競走名本題欧字	raceNameEng
競走名副題欧字	raceNameSubEng
競走名カッコ内欧字	raceNameParenthesesEng
競走名略称10文字	raceNameAbbr10
競走名略称6文字	raceNameAbbr6
競走名略称3文字	raceNameAbbr3
競走名区分	raceTitleCategory
重賞回次[第N回]	gradeCount
グレードコード	gradeCode
変更前グレードコード	previousGradeCode
